signal,threshold,pct_escalated,accuracy,false_escalation_rate,dangerous_non_escalation_rate
learned_router,0.011068041314811277,4.666666666666667,0.76,0.0,0.8235294117647058
learned_router,0.12477411849958596,8.0,0.76,0.009009009009009009,0.8235294117647058
learned_router,0.3989487019024578,12.0,0.7733333333333333,0.018018018018018018,0.7058823529411765
learned_router,0.5628097891461455,18.666666666666668,0.78,0.07207207207207207,0.5882352941176471
learned_router,0.6602519615163008,21.333333333333332,0.8,0.08108108108108109,0.4117647058823529
learned_router,0.6936335437288516,25.333333333333332,0.7866666666666666,0.12612612612612611,0.4117647058823529
learned_router,0.7518286349630435,30.666666666666668,0.78,0.18018018018018017,0.4117647058823529
learned_router,0.819725628808167,36.666666666666664,0.8,0.23423423423423423,0.23529411764705882
learned_router,0.8490942875395643,42.666666666666664,0.8066666666666666,0.2702702702702703,0.17647058823529413
learned_router,0.8682622311980378,48.0,0.7933333333333333,0.34234234234234234,0.17647058823529413
learned_router,0.8893792653648788,52.0,0.7866666666666666,0.3963963963963964,0.17647058823529413
learned_router,0.9016085730479452,58.0,0.7866666666666666,0.4774774774774775,0.17647058823529413
learned_router,0.9141717331241862,65.33333333333333,0.7866666666666666,0.5765765765765766,0.17647058823529413
learned_router,0.9269357921427587,70.66666666666667,0.7933333333333333,0.6306306306306306,0.11764705882352941
learned_router,0.9333775981450017,73.33333333333333,0.7933333333333333,0.6666666666666666,0.11764705882352941
learned_router,0.9447909744177492,82.0,0.8,0.7657657657657657,0.058823529411764705
learned_router,0.9562061411458697,86.0,0.8,0.8198198198198198,0.058823529411764705
learned_router,0.9626681001904054,90.66666666666667,0.8066666666666666,0.8738738738738738,0.0
learned_router,0.9715985098456993,95.33333333333333,0.8066666666666666,0.9369369369369369,0.0
