signal,threshold,pct_escalated,accuracy,false_escalation_rate,dangerous_non_escalation_rate
mean_logprob,-0.08097518241189162,4.666666666666667,0.7466666666666667,0.04504504504504504,0.9411764705882353
mean_logprob,-0.06582755526479796,11.333333333333334,0.78,0.05405405405405406,0.6470588235294118
mean_logprob,-0.05882327929158974,14.666666666666666,0.7866666666666666,0.07207207207207207,0.5882352941176471
mean_logprob,-0.05320663410937963,20.666666666666668,0.8,0.11711711711711711,0.47058823529411764
mean_logprob,-0.04879295269857964,24.0,0.8,0.13513513513513514,0.47058823529411764
mean_logprob,-0.04472174799362984,28.666666666666668,0.7933333333333333,0.1891891891891892,0.4117647058823529
mean_logprob,-0.041873074582345106,32.666666666666664,0.7933333333333333,0.22522522522522523,0.35294117647058826
mean_logprob,-0.039553807017559534,35.333333333333336,0.7933333333333333,0.25225225225225223,0.35294117647058826
mean_logprob,-0.03688405422402305,41.333333333333336,0.8066666666666666,0.3063063063063063,0.23529411764705882
mean_logprob,-0.034648602205662876,49.333333333333336,0.8133333333333334,0.3963963963963964,0.17647058823529413
mean_logprob,-0.032666844670571855,57.333333333333336,0.8066666666666666,0.4864864864864865,0.17647058823529413
mean_logprob,-0.031218688858730772,60.0,0.8066666666666666,0.5225225225225225,0.17647058823529413
mean_logprob,-0.029898873422383305,62.666666666666664,0.8066666666666666,0.5585585585585585,0.17647058823529413
mean_logprob,-0.028489094192885048,66.0,0.8133333333333334,0.5945945945945946,0.11764705882352941
mean_logprob,-0.027189387218109387,70.0,0.8133333333333334,0.6306306306306306,0.11764705882352941
mean_logprob,-0.02433748430816491,82.66666666666667,0.8133333333333334,0.8018018018018018,0.11764705882352941
mean_logprob,-0.021999977688237304,87.33333333333333,0.8133333333333334,0.8558558558558559,0.058823529411764705
mean_logprob,-0.019696394386261376,92.0,0.8066666666666666,0.918918918918919,0.058823529411764705
mean_logprob,-0.01675721019390923,96.66666666666667,0.8066666666666666,0.954954954954955,0.0
min_logprob,-1.707343626022339,2.0,0.7466666666666667,0.018018018018018018,0.9411764705882353
min_logprob,-1.4183959007263183,10.0,0.7533333333333333,0.05405405405405406,0.8235294117647058
min_logprob,-1.308213347196579,15.333333333333334,0.78,0.07207207207207207,0.5882352941176471
min_logprob,-1.2287312269210815,18.666666666666668,0.7866666666666666,0.0990990990990991,0.47058823529411764
min_logprob,-1.1605777144432068,24.0,0.7866666666666666,0.16216216216216217,0.47058823529411764
min_logprob,-1.1119213342666625,31.333333333333332,0.7933333333333333,0.22522522522522523,0.35294117647058826
min_logprob,-1.0583875894546508,34.666666666666664,0.8,0.24324324324324326,0.29411764705882354
min_logprob,-1.0223849773406983,39.333333333333336,0.8,0.2882882882882883,0.29411764705882354
min_logprob,-0.9875917762517928,44.0,0.8066666666666666,0.3153153153153153,0.23529411764705882
min_logprob,-0.9623834788799286,46.666666666666664,0.8,0.34234234234234234,0.23529411764705882
min_logprob,-0.9310130506753921,55.333333333333336,0.8,0.44144144144144143,0.23529411764705882
min_logprob,-0.9085036277770996,60.0,0.8066666666666666,0.4864864864864865,0.11764705882352941
min_logprob,-0.8472309917211532,68.66666666666667,0.8066666666666666,0.6036036036036037,0.11764705882352941
min_logprob,-0.8277148842811585,71.33333333333333,0.8,0.6396396396396397,0.11764705882352941
min_logprob,-0.8058010339736938,74.0,0.7933333333333333,0.6756756756756757,0.11764705882352941
min_logprob,-0.7684012889862062,78.0,0.7933333333333333,0.7207207207207207,0.11764705882352941
min_logprob,-0.7341730415821075,84.0,0.8,0.7927927927927928,0.058823529411764705
min_logprob,-0.6932023048400879,90.0,0.8,0.8738738738738738,0.058823529411764705
min_logprob,-0.6701237350702286,93.33333333333333,0.8,0.918918918918919,0.058823529411764705
format_validity,1,6.666666666666667,0.76,0.0,0.8235294117647058
