signal,threshold,pct_escalated,accuracy,false_escalation_rate,dangerous_non_escalation_rate,blended_latency_seconds,latency_savings_pct_vs_large_only,blended_gpu_seconds,gpu_seconds_savings_pct_vs_large_only
mean_logprob,-0.08097518241189162,4.666666666666667,0.7466666666666667,0.04504504504504504,0.9411764705882353,0.31328,43.3,0.33906,69.31
mean_logprob,-0.06582755526479796,11.333333333333334,0.78,0.05405405405405406,0.6470588235294118,0.33001,40.27,0.39262,64.47
mean_logprob,-0.05882327929158974,14.666666666666666,0.7866666666666666,0.07207207207207207,0.5882352941176471,0.33837,38.75,0.4194,62.04
mean_logprob,-0.05320663410937963,20.666666666666668,0.8,0.11711711711711711,0.47058823529411764,0.35343,36.03,0.46761,57.68
mean_logprob,-0.04879295269857964,24.0,0.8,0.13513513513513514,0.47058823529411764,0.36179,34.52,0.49438,55.26
mean_logprob,-0.04472174799362984,28.666666666666668,0.7933333333333333,0.1891891891891892,0.4117647058823529,0.3735,32.4,0.53188,51.86
mean_logprob,-0.041873074582345106,32.666666666666664,0.7933333333333333,0.22522522522522523,0.35294117647058826,0.38354,30.58,0.56401,48.96
mean_logprob,-0.039553807017559534,35.333333333333336,0.7933333333333333,0.25225225225225223,0.35294117647058826,0.39023,29.37,0.58544,47.02
mean_logprob,-0.03688405422402305,41.333333333333336,0.8066666666666666,0.3063063063063063,0.23529411764705882,0.40528,26.64,0.63364,42.65
mean_logprob,-0.034648602205662876,49.333333333333336,0.8133333333333334,0.3963963963963964,0.17647058823529413,0.42535,23.01,0.69791,36.84
mean_logprob,-0.032666844670571855,57.333333333333336,0.8066666666666666,0.4864864864864865,0.17647058823529413,0.44543,19.38,0.76218,31.02
mean_logprob,-0.031218688858730772,60.0,0.8066666666666666,0.5225225225225225,0.17647058823529413,0.45212,18.17,0.7836,29.08
mean_logprob,-0.029898873422383305,62.666666666666664,0.8066666666666666,0.5585585585585585,0.17647058823529413,0.45881,16.95,0.80503,27.14
mean_logprob,-0.028489094192885048,66.0,0.8133333333333334,0.5945945945945946,0.11764705882352941,0.46717,15.44,0.83181,24.72
mean_logprob,-0.027189387218109387,70.0,0.8133333333333334,0.6306306306306306,0.11764705882352941,0.47721,13.62,0.86394,21.81
mean_logprob,-0.02433748430816491,82.66666666666667,0.8133333333333334,0.8018018018018018,0.11764705882352941,0.50899,7.87,0.9657,12.6
mean_logprob,-0.021999977688237304,87.33333333333333,0.8133333333333334,0.8558558558558559,0.058823529411764705,0.5207,5.75,1.0032,9.21
mean_logprob,-0.019696394386261376,92.0,0.8066666666666666,0.918918918918919,0.058823529411764705,0.53241,3.63,1.04069,5.82
mean_logprob,-0.01675721019390923,96.66666666666667,0.8066666666666666,0.954954954954955,0.0,0.54412,1.51,1.07818,2.42
min_logprob,-1.707343626022339,2.0,0.7466666666666667,0.018018018018018018,0.9411764705882353,0.30659,44.51,0.31764,71.25
min_logprob,-1.4183959007263183,10.0,0.7533333333333333,0.05405405405405406,0.8235294117647058,0.32666,40.87,0.38191,65.44
min_logprob,-1.308213347196579,15.333333333333334,0.78,0.07207207207207207,0.5882352941176471,0.34004,38.45,0.42476,61.56
min_logprob,-1.2287312269210815,18.666666666666668,0.7866666666666666,0.0990990990990991,0.47058823529411764,0.34841,36.94,0.45154,59.14
min_logprob,-1.1605777144432068,24.0,0.7866666666666666,0.16216216216216217,0.47058823529411764,0.36179,34.52,0.49438,55.26
min_logprob,-1.1119213342666625,31.333333333333332,0.7933333333333333,0.22522522522522523,0.35294117647058826,0.38019,31.18,0.5533,49.93
min_logprob,-1.0583875894546508,34.666666666666664,0.8,0.24324324324324326,0.29411764705882354,0.38855,29.67,0.58008,47.5
min_logprob,-1.0223849773406983,39.333333333333336,0.8,0.2882882882882883,0.29411764705882354,0.40026,27.55,0.61757,44.11
min_logprob,-0.9875917762517928,44.0,0.8066666666666666,0.3153153153153153,0.23529411764705882,0.41197,25.43,0.65506,40.72
min_logprob,-0.9623834788799286,46.666666666666664,0.8,0.34234234234234234,0.23529411764705882,0.41866,24.22,0.67649,38.78
min_logprob,-0.9310130506753921,55.333333333333336,0.8,0.44144144144144143,0.23529411764705882,0.44041,20.29,0.74611,32.48
min_logprob,-0.9085036277770996,60.0,0.8066666666666666,0.4864864864864865,0.11764705882352941,0.45212,18.17,0.7836,29.08
min_logprob,-0.8472309917211532,68.66666666666667,0.8066666666666666,0.6036036036036037,0.11764705882352941,0.47386,14.23,0.85323,22.78
min_logprob,-0.8277148842811585,71.33333333333333,0.8,0.6396396396396397,0.11764705882352941,0.48055,13.02,0.87465,20.84
min_logprob,-0.8058010339736938,74.0,0.7933333333333333,0.6756756756756757,0.11764705882352941,0.48724,11.81,0.89608,18.9
min_logprob,-0.7684012889862062,78.0,0.7933333333333333,0.7207207207207207,0.11764705882352941,0.49728,9.99,0.92821,16.0
min_logprob,-0.7341730415821075,84.0,0.8,0.7927927927927928,0.058823529411764705,0.51233,7.27,0.97642,11.63
min_logprob,-0.6932023048400879,90.0,0.8,0.8738738738738738,0.058823529411764705,0.52739,4.54,1.02462,7.27
min_logprob,-0.6701237350702286,93.33333333333333,0.8,0.918918918918919,0.058823529411764705,0.53575,3.03,1.0514,4.85
format_validity,1,6.666666666666667,0.76,0.0,0.8235294117647058,0.3183,42.39,0.35513,67.86
